Date,Open,Close,High,Low,Volume
20-Mar-18,175.240005,175.240005,176.800003,174.940002,19649400
21-Mar-18,175.039993,171.270004,175.089996,171.259995,37054900
22-Mar-18,170,168.850006,172.679993,168.600006,41490800
23-Mar-18,168.389999,164.940002,169.919998,164.940002,41028800
26-Mar-18,168.070007,172.770004,173.100006,166.440002,37541200
27-Mar-18,173.679993,168.339996,175.149994,166.919998,40922600
28-Mar-18,167.25,166.479996,170.020004,165.190002,41668500
29-Mar-18,167.809998,167.779999,171.75,166.899994,38398500
2-Apr-18,166.639999,166.679993,168.940002,164.470001,37586800
3-Apr-18,167.639999,168.389999,168.75,164.880005,30278000
4-Apr-18,164.880005,171.610001,172.009995,164.770004,34605500
5-Apr-18,172.580002,172.800003,174.229996,172.080002,26933200
6-Apr-18,170.970001,168.380005,172.479996,168.199997,35005300
9-Apr-18,169.880005,170.050003,173.089996,169.850006,29017700
10-Apr-18,173,173.25,174,171.529999,28408600
11-Apr-18,172.229996,172.440002,173.919998,171.699997,22431600
12-Apr-18,173.410004,174.139999,175,173.039993,22889300
13-Apr-18,174.779999,174.729996,175.839996,173.850006,25124300
16-Apr-18,175.029999,175.820007,176.190002,174.830002,21578400
17-Apr-18,176.490005,178.240005,178.940002,176.410004,26605400
18-Apr-18,177.809998,177.839996,178.820007,176.880005,20754500
19-Apr-18,173.759995,172.800003,175.389999,172.660004,34808800
20-Apr-18,170.600006,165.720001,171.220001,165.429993,65491100
23-Apr-18,166.830002,165.240005,166.919998,164.089996,36515500
24-Apr-18,165.669998,162.940002,166.330002,161.220001,33692000
25-Apr-18,162.619995,163.649994,165.419998,162.410004,28382100
26-Apr-18,164.119995,164.220001,165.729996,163.369995,27963000
27-Apr-18,164,162.320007,164.330002,160.630005,35655800
30-Apr-18,162.130005,165.259995,167.259995,161.839996,42427400
1-May-18,166.410004,169.100006,169.199997,165.270004,53569400
2-May-18,175.229996,176.570007,177.75,173.800003,66539400
3-May-18,175.880005,176.889999,177.5,174.440002,34068200
4-May-18,178.25,183.830002,184.25,178.169998,56201300
7-May-18,185.179993,185.160004,187.669998,184.75,42451400
8-May-18,184.990005,186.050003,186.220001,183.669998,28402800
9-May-18,186.550003,187.360001,187.399994,185.220001,23211200
10-May-18,187.740005,190.039993,190.369995,187.649994,27989300
11-May-18,189.490005,188.589996,190.059998,187.449997,26212200
14-May-18,189.009995,188.149994,189.529999,187.860001,20778800
15-May-18,186.779999,186.440002,187.070007,185.100006,23695200
16-May-18,186.070007,188.179993,188.460007,186,19183100
17-May-18,188,186.990005,188.910004,186.360001,17294000
18-May-18,187.190002,186.309998,187.809998,186.130005,18297700
21-May-18,188,187.630005,189.270004,186.910004,18400800
22-May-18,188.380005,187.160004,188.880005,186.779999,15240700
23-May-18,186.350006,188.360001,188.5,185.759995,20058400
24-May-18,188.770004,188.149994,188.839996,186.210007,23234000
25-May-18,188.229996,188.580002,189.649994,187.649994,17461000
29-May-18,187.600006,187.899994,188.75,186.869995,22514100
30-May-18,187.720001,187.5,188,186.779999,18690500
31-May-18,187.220001,186.869995,188.229996,186.139999,27482800
1-Jun-18,187.990005,190.240005,190.259995,187.75,23442500
4-Jun-18,191.639999,191.830002,193.419998,191.350006,26266200
5-Jun-18,193.070007,193.309998,193.940002,192.360001,21566000
6-Jun-18,193.630005,193.979996,194.080002,191.919998,20933600
7-Jun-18,194.139999,193.460007,194.199997,192.339996,21347200
8-Jun-18,191.169998,191.699997,192,189.770004,26656800
11-Jun-18,191.350006,191.229996,191.970001,190.210007,18308500
12-Jun-18,191.389999,192.279999,192.610001,191.149994,16911100
13-Jun-18,192.419998,190.699997,192.880005,190.440002,21638400
14-Jun-18,191.550003,190.800003,191.570007,190.220001,21610100
15-Jun-18,190.029999,188.839996,190.160004,188.259995,61719200
18-Jun-18,187.880005,188.740005,189.220001,187.199997,18484900
19-Jun-18,185.139999,185.690002,186.330002,183.449997,33578500
20-Jun-18,186.350006,186.5,187.199997,185.729996,20628700
21-Jun-18,187.25,185.460007,188.350006,184.940002,25711900
22-Jun-18,186.119995,184.919998,186.149994,184.699997,27200400
25-Jun-18,183.399994,182.169998,184.919998,180.729996,31663100
26-Jun-18,182.990005,184.429993,186.529999,182.539993,24569200
27-Jun-18,185.229996,184.160004,187.279999,184.029999,25285300
28-Jun-18,184.100006,185.5,186.210007,183.800003,17365200
29-Jun-18,186.289993,185.110001,187.190002,182.910004,22737700
2-Jul-18,183.820007,187.179993,187.300003,183.419998,17731300
3-Jul-18,187.789993,183.919998,187.949997,183.539993,13954800
5-Jul-18,185.259995,185.399994,186.410004,184.279999,16604200
6-Jul-18,185.419998,187.970001,188.429993,185.199997,17485200
9-Jul-18,189.5,190.580002,190.679993,189.300003,19756600
10-Jul-18,190.710007,190.350006,191.279999,190.179993,15939100
11-Jul-18,188.5,187.880005,189.779999,187.610001,18831500
12-Jul-18,189.529999,191.029999,191.410004,189.309998,18041100
13-Jul-18,191.080002,191.330002,191.839996,190.899994,12513900
16-Jul-18,191.520004,190.910004,192.649994,190.419998,15043100
17-Jul-18,189.75,191.449997,191.869995,189.199997,15534500
18-Jul-18,191.779999,190.399994,191.800003,189.929993,16393400
19-Jul-18,189.690002,191.880005,192.550003,189.690002,20286800
20-Jul-18,191.779999,191.440002,192.429993,190.169998,20676200
